CountyState,Average,RegionID
"Los Angeles, CA",343300,24174
"Hidalgo, TX",117700,25818
"King, WA",955400,3619
"Saginaw, MI",100200,54263
"Monroe, IN",253800,17070
"Johnson, KS",217100,33230
"Broward, FL",247400,39815
"Maricopa, AZ",226100,8814
"Broward, FL",455500,17571
"Los Angeles, CA",531500,17882
"Butler, OH",241000,11786
"Hartford, CT",107300,5071
"Fairfield, CT",669200,27239
"Chatham, GA",177000,47584
"Ventura, CA",709400,27110
"Contra Costa, CA",693700,51518
"Macomb, MI",308200,47847
"Collin, TX",383000,18208
"Will, IL",212600,32238
"Denton, TX",244000,17321
"Yellowstone, MT",202800,37427
"Lehigh, PA",175000,16726
"Santa Fe, NM",476800,40760
"Solano, CA",455700,34520
"Jackson, MO",95300,12038
"Santa Clara, CA",1264300,13713
"Wake, NC",505900,51297
"Harris, TX",330500,38119
"Maricopa, AZ",340900,7330
"Alameda, CA",1288000,16992
"Riverside, CA",323000,11865
"Cleveland, OK",229600,33136
"Fairfax, VA",682100,4679
"Sangamon, IL",180500,54522
"Calcasieu, LA",241000,46101
"Los Angeles, CA",712500,4406
"Adams, CO",433500,20793
"Frederick, MD",393600,4810
"Adams, CO",442700,34781
"Ingham, MI",129300,398300
"San Bernardino, CA",309200,27683
"New Haven, CT",177200,34671
"Pasco, FL",230300,6172
"Riverside, CA",581900,7386
"Miami-Dade, FL",273000,39767
"Orange, CA",930900,38032
"Clarke, GA",229500,23534
"Hillsborough, NH",293900,5772
"San Diego, CA",642900,41517
"Olmsted, MN",265000,26791
"San Joaquin, CA",618900,7453
"Ventura, CA",718900,34543
"Riverside, CA",553900,6103
"Peoria, IL",89900,19903
"Butte, CA",427500,37863
"Washtenaw, MI",477800,8097
"Middlesex, MA",336200,25659
"Hall, GA",255900,24822
"Fresno, CA",430700,44655
"Middlesex, MA",863100,3934
"Washoe, NV",418400,13943
"Placer, CA",561400,13594
"Los Angeles, CA",576100,53636
"Shasta, CA",348700,47322
"Los Angeles, CA",601400,51861
"Los Angeles, CA",905600,396054
"Salt Lake, UT",368300,41641
"Canyon, ID",244100,33024
"Snohomish, WA",430700,4626
"Tulsa, OK",160500,37596
"Utah, UT",329600,20071
"Spartanburg, SC",174700,7191
"Deschutes, OR",499300,50962
"Brevard, FL",212700,53787
"Tuscaloosa, AL",221800,14208
"Pinellas, FL",275800,51447
"Fairfax, VA",643000,27228
"New Hanover, NC",297100,21320
"Broward, FL",250100,26575
"San Bernardino, CA",315500,45732
