CountyState,Average,RegionID
"Waukesha, WI",263300,35861
"Kendall, IL",394600,26336
"Kent, MI",507000,31590
"Saint Clair, IL",77000,51813
"Tulsa, OK",125800,47555
"Saint Charles, MO",334200,34718
"Middlesex, MA",667800,7739
"Suffolk, NY",296700,23477
"Mercer, NJ",368900,4498
"Bergen, NJ",516600,53018
"Clay, MO",251700,5624
"Jackson, OR",546900,30275
"Winnebago, WI",246000,397326
"Howard, MD",486300,35469
"Bergen, NJ",614900,4131
"Tehama, CA",256900,40516
"Utah, UT",346000,41001
"Lewis, WA",171000,51338
"Lenawee, MI",88300,399108
"Kent, MI",268900,50009
"Knox, IN",142500,29408
"Citrus, FL",161600,18614
"Tarrant, TX",649400,47783
"Santa Cruz, CA",1073000,23504
"Mecklenburg, NC",405500,51550
"Cook, IL",233400,35973
"Los Angeles, CA",543500,47547
"Haywood, NC",231900,14506
"Montgomery, MD",893800,13032
"Johnson, TX",167300,44633
"Clackamas, OR",698200,34749
"Cook, IL",461200,6055
"Wayne, MI",98900,54201
"Culpeper, VA",364400,11011
"Clay, MO",129600,52216
"Jefferson, MO",224600,24701
"Matanuska Susitna, AK",244000,36906
"Bergen, NJ",665700,12515
"Prince Georges, MD",443800,396727
"Contra Costa, CA",1012900,51858
"Coos, OR",251300,38008
"Putnam, FL",138200,53785
"Orange, CA",778100,52835
"Onondaga, NY",296500,395803
"Stanislaus, CA",424900,35927
"Nassau, NY",476000,41341
"Hillsborough, NH",259700,397242
"Anne Arundel, MD",671300,36733
"Los Angeles, CA",803300,39308
"Yuma, AZ",195400,43267
"La Salle, IL",109400,28922
"Kent, DE",311400,34023
"Orange, CA",1170300,54352
"Middlesex, NJ",454500,20578
"McHenry, IL",403700,10074
"Racine, WI",309100,10661
"McHenry, IL",286500,25828
"Kane, IL",138600,10721
"Bucks, PA",546500,56739
"Miami-Dade, FL",485500,5926
"Lake, IN",152400,396711
"Jackson, MI",91800,398015
"Hinds, MS",217100,10868
"Utah, UT",351100,13974
"Lake, IN",213800,26044
"Nassau, NY",617000,36510
"Bristol, MA",547800,45065
"Baltimore, MD",353200,26492
"Bristol, MA",559800,5787
"Fairbanks North Star, AK",210700,29910
"Fairfax, VA",585000,12446
"Shelby, TN",193200,5963
"King, WA",1689700,56365
"Middlesex, MA",684300,37661
"Spotsylvania, VA",218200,41014
"Dauphin, PA",381400,5714
"Laurens, GA",139900,24437
"Rice, MN",349700,23202
"King George, VA",313800,52776
"Butte, CA",334400,40242
"Jefferson, CO",546400,119404
"Cuyahoga, OH",461900,13896
"Baltimore, MD",346800,54056
"Ocean, NJ",396100,23680
"Suffolk, NY",338700,51677
"Yavapai, AZ",293200,10965
"Macomb, MI",490100,50049
"Madison, MS",163300,47384
"Plymouth, MA",570800,397306
"Kane, IL",277800,30354
"Suffolk, NY",458600,54443
"Miami-Dade, FL",345300,126391
"Jackson, OR",333500,10769
"Lumpkin, GA",261300,24303
"Stanly, NC",171100,16704
"Du Page, IL",433100,32522
"Santa Cruz, AZ",190400,40026
"Sacramento, CA",476800,396236
"Middlesex, MA",549100,37844
"Cuyahoga, OH",122600,19190
"Nassau, NY",617600,38598
"Dekalb, GA",155200,396602
"Wayne, MI",100800,48589
"Middlesex, MA",1175300,10344
"Saint Louis, MO",399700,21186
"Miami-Dade, FL",459400,124027
"George, MS",204700,5719
"Kern, CA",200300,117041
"Somerset, NJ",429900,56814
"Highlands, FL",142500,30312
"Buncombe, NC",319400,43591
"Greene, AR",167000,19837
"Miami-Dade, FL",292400,54009
"Georgetown, SC",210200,52197
"Oakland, MI",206700,57229
"Jackson, IN",181800,20430
"Onondaga, NY",249200,397269
"Du Page, IL",294200,24877
"King, WA",577900,46405
"Dallas, TX",1448300,48098
"Hall, GA",300300,8713
"Solano, CA",474400,47889
"Kane, IL",321300,18263
"Morehouse, LA",83500,10272
"Parker, TX",230400,27812
"Miami-Dade, FL",728000,41500
"Spartanburg, SC",231800,25253
"Montgomery, IN",181700,4242
"Chester, PA",865300,41274
"Middlesex, NJ",377300,51291
"Nassau, NY",1181600,31695
"Fairfax, VA",612900,244024
"Tangipahoa, LA",152600,33480
"Dickson, TN",202600,51718
"Sacramento, CA",382100,117769
"Hillsborough, FL",434900,7876
"Cook, IL",113600,45676
"New Haven, CT",543200,398151
"Lake, IN",176500,31125
"Nassau, NY",910000,40613
"Summit, OH",535800,52591
"Montgomery, PA",201900,42923
"Jefferson, CO",734500,24634
"Cuyahoga, OH",288200,56087
"Madera, CA",267500,17442
"Prince Georges, MD",264800,396161
"Middlesex, MA",615800,14668
"Wayne, MI",51400,31931
"Maui, HI",803700,12191
"Vernon, LA",149700,12355
"Genesee, NY",167700,397557
"Ozaukee, WI",367200,19317
"Morris, NJ",829500,398997
"Middlesex, MA",764200,43821
"Kankakee, IL",164300,14882
"Lake, OH",244700,7954
"San Bernardino, CA",227400,28063
"Hawaii, HI",652700,25347
"Hunterdon, NJ",622100,398735
"Dakota, MN",401100,6835
"Bryan, GA",228100,42710
"Allegheny, PA",354800,396635
"Miami, IN",120500,33395
"Genesee, MI",180100,398269
"Hennepin, MN",272800,38095
"Oconee, SC",141200,13776
"Will, IL",313300,46285
"Cook, IL",191800,51040
"Norfolk, MA",660100,37737
"Marion, OR",310700,29443
"Tazewell, IL",141600,7768
"Hendricks, IN",267300,56396
"Kandiyohi, MN",232200,41723
"Suffolk, NY",410000,27287
"Allegheny, PA",516200,7898
"Muskegon, MI",212300,46821
"Tarrant, TX",164700,40681
"Du Page, IL",482400,44861
"McHenry, IL",410000,8587
"Dutchess, NY",487900,45035
"Lake, IL",222800,43240
"Washington, TX",159700,30582
"Pinal, AZ",173600,38541
"Somerset, NJ",402700,46805
"Talbot, MD",388500,35393
"Middlesex, MA",1227700,41741
"Cochise, AZ",138000,44966
"Monmouth, NJ",647400,399063
"Miami-Dade, FL",302900,38976
"Riverside, CA",543700,5994
"Logan, OK",116400,24993
"Prince Georges, MD",452600,30411
"Mobile, AL",46400,26624
"Suffolk, NY",277300,36041
"Mercer, NJ",1116900,395489
"Solano, CA",766000,44131
"Franklin, OH",296600,18234
"Washington, OR",437000,15449
"Allegheny, PA",207600,397165
"Ramsey, MN",358600,56232
"Anne Arundel, MD",500800,36864
"DeSoto, MS",82500,55827
"Dyer, TN",79200,17844
"Du Page, IL",396100,14588
"Brown, TX",77000,10585
"Suffolk, NY",308400,33495
"Juneau, AK",322200,5365
"Los Angeles, CA",419900,31134
"Lancaster, PA",266400,395523
"Wakulla, FL",230000,10985
"San Mateo, CA",1820300,53327
"Gloucester, NJ",296400,397869
"Prince Georges, MD",249100,4974
"Canadian, OK",154900,53472
"Rockingham, NH",407200,398967
"Contra Costa, CA",1712800,25455
"Westchester, NY",737600,52323
"Hennepin, MN",333000,44544
"Baltimore, MD",351400,157222
"Hillsborough, FL",281800,123944
"Nassau, NY",624000,33904
"Hennepin, MN",463600,12762
"Orange, CA",1314000,40081
"San Bernardino, CA",528500,12423
"Hopkins, KY",106300,49478
"Pima, AZ",297300,47502
"Los Angeles, CA",1059000,9840
"Cook, IL",577800,25548
"Saint Louis, MO",248100,42716
"Miami-Dade, FL",310200,17312
"Cowlitz, WA",248600,46005
"Hillsborough, NH",264700,398779
"Montgomery, PA",490500,397683
"Johnson, KS",230200,13385
"Oakland, MI",260300,43983
"Lorain, OH",440200,50815
"Winnebago, IL",92900,39524
"Sussex, NJ",498300,398283
"Clark, WA",465700,251834
"Lake, IL",494800,49927
"Miami-Dade, FL",224500,5600
"Westmoreland, PA",217200,398145
"Monmouth, NJ",371100,26082
"Westmoreland, PA",338100,8893
"Washington, RI",476200,47764
"Providence, RI",313900,4488
"Johnson, MO",145200,21161
"Fayette, IN",122800,24189
"Rockingham, NH",473400,53977
"Okaloosa, FL",384600,40018
"Clinton, IN",143400,4799
"Cook, IL",168100,8671
"Mobile, AL",173700,41216
"Davis, UT",274500,10849
"Baltimore, MD",494900,48904
"Carter, OK",118400,23512
"Hampden, MA",308600,5725
"Solano, CA",535500,17788
"Montgomery, NY",139700,398680
"Suffolk, NY",225800,16112
"Uvalde, TX",105200,21019
"Cameron, TX",100400,33833
"Jackson, MS",80100,53820
"Morris, NJ",440600,12117
"Saint Louis, MO",123500,45261
"Elko, NV",317400,31396
"Cook, IL",356100,36955
"Prince William, VA",724000,5104
"Lyon, NV",258600,31552
"Knox, TN",522800,51996
"Lake, FL",280900,6067
"Middlesex, MA",742000,21255
"Maricopa, AZ",544500,38590
"Onondaga, NY",280500,395593
"Fresno, CA",235400,4148
"Nassau, NY",595900,23695
"Lehigh, PA",283100,272497
"San Bernardino, CA",369700,28136
"Kent, MI",365800,54190
"Hendricks, IN",289800,8201
"Douglas, NV",449200,31701
"Kalamazoo, MI",187900,40190
"Johnson, KS",180000,11575
"La Crosse, WI",186400,13105
"Coffee, TN",192000,7486
"Neshoba, MS",162100,47083
"Christian, MO",313100,8878
"Ontario, NY",299800,395551
"Bristol, MA",514200,51652
"Gloucester, NJ",339200,397749
"Forrest, MS",194500,47074
"Westchester, NY",280300,33369
"Montgomery, PA",418400,397479
"Montgomery, MD",370300,19445
"Butts, GA",144000,32178
"Clark, WA",376600,53739
"Cuyahoga, OH",210500,16560
"McDonough, IL",80500,32624
"Bergen, NJ",512200,25687
"White, GA",168400,28306
"Hennepin, MN",410900,38731
"Lake, IL",344300,48668
"Imperial, CA",172900,41951
"Rutland, VT",144600,398278
"Wake, NC",274600,52806
"Harford, MD",311000,16675
"Monmouth, NJ",455600,397230
"Independence, AR",145600,23610
"Oakland, MI",383200,396721
"Hamilton, TN",169200,15136
"Erath, TX",224100,54552
"San Diego, CA",1519400,17587
"Cuyahoga, OH",172100,34049
"Matagorda, TX",140600,16917
"Los Angeles, CA",598100,118878
"Litchfield, CT",406600,398661
"Prince Georges, MD",439900,4167
"Hillsborough, FL",324600,396834
"Mower, MN",83100,23555
"Ocean, NJ",355200,18891
"Clackamas, OR",680200,31937
"Jefferson, MO",263000,18676
"DeSoto, MS",167500,18548
"Coffee, GA",87200,51736
"Harnett, NC",145000,13967
"San Diego, CA",772200,7662
"Jefferson, MO",182600,11056
"Worcester, MA",247700,31700
"Lassen, CA",161800,7332
"Westmoreland, PA",251200,399271
"Pierce, WA",447100,18345
"Harnett, NC",205400,45006
"Bucks, PA",722100,37635
"Knox, TN",239700,53986
"Franklin, PA",136000,28195
"Baldwin, AL",279700,14948
"Anne Arundel, MD",571600,8150
"Clark, IN",101700,44623
"Washington, RI",460600,398547
"Cook, IL",277000,35945
"Whitley, IN",203200,30994
"Stark, ND",201600,4366
"Ingham, MI",228300,6294
"Bergen, NJ",800500,19819
"Lorain, OH",380100,14933
"Orange, FL",312500,22517
"Buncombe, NC",368300,10164
"Jefferson, AL",436800,45794
"Los Angeles, CA",580300,36502
"Macomb, MI",298200,38903
"Ottawa, MI",301400,399288
"Fairfield, CT",2003600,12935
"Harris, TX",201000,24133
"Hartford, CT",304700,14813
"Orange, NY",334000,396764
"Mercer, NJ",646200,55808
"Marshall, IN",194700,6543
"Lawrence, IN",149100,15050
"Washington, RI",446100,19671
"Wake, NC",412000,25165
"King, WA",454300,7906
"Du Page, IL",360700,7703
"Tarrant, TX",178400,23671
"El Paso, CO",322300,4790
"Montgomery, MD",659300,6317
"Allegheny, PA",84800,5875
"Outagamie, WI",299100,398356
"Wilson, TX",249300,4736
"Saint Marys, MD",393300,5889
"Los Angeles, CA",636200,53027
"Whatcom, WA",448000,45263
"Escambia, FL",266500,37738
"Cass, MO",127300,44124
"Santa Rosa, FL",329200,42657
"Multnomah, OR",429400,43253
"Suffolk, NY",515200,25848
"Monterey, CA",669600,30025
"Dakota, MN",293800,14573
"Erie, NY",221900,28645
"Cook, IL",149600,33328
"Los Angeles, CA",2136100,46080
"Jefferson, AL",59100,16997
"Clark, WA",392600,4724
"Hillsborough, FL",244600,33924
"Tuscarawas, OH",190400,53547
"Putnam, NY",533600,51273
"Fairfield, CT",354800,46578
"Miami-Dade, FL",211600,124855
"Ocean, NJ",336900,50861
"Marion, OR",312100,206966
"Hennepin, MN",317300,33072
"Nassau, NY",610700,53084
"Montgomery, PA",429900,21825
"King, WA",731900,42157
"Snohomish, WA",482900,12876
"Montgomery, MD",637000,47942
"Lake, OH",229200,28935
"Saint Louis, MO",234800,48883
"Kern, CA",279200,40633
"Hamilton, TN",324600,8778
"Du Page, IL",385200,29671
"Racine, WI",282100,397855
"Boone, KY",285700,28341
"Middlesex, MA",648700,54571
"Dekalb, GA",205200,10840
"Barnstable, MA",460000,45034
"Davis, UT",316700,37931
"East Baton Rouge, LA",124100,44010
"Cuyahoga, OH",373100,37590
"Prince William, VA",649500,18227
"Pearl River, MS",189200,49671
"Fairfield, CT",1972800,11043
"Yakima, WA",153500,49921
"Cortland, NY",153500,24229
"Rock Island, IL",149200,38293
"Lehigh, PA",343800,398142
"Grant, NM",154400,54420
"Hamilton, OH",192300,19698
"New Haven, CT",294700,30227
"Summit, OH",349300,7510
"Kern, CA",227000,50774
"Lee, FL",446500,21960
"Placer, CA",988800,11677
"Bedford, VA",229300,18141
"Cuyahoga, OH",204600,17184
"Ventura, CA",861400,13091
"Okaloosa, FL",250300,126700
"Oakland, MI",645700,17035
"Monroe, MI",189000,396726
"Clinton, MI",287000,395893
"Allegheny, PA",459000,41353
"Lake, IL",208000,41825
"De Kalb, IN",213600,37217
"King, WA",513000,45171
"Dakota, MN",270100,34065
"Cuyahoga, OH",229600,5846
"Cook, IL",294700,11366
"Worcester, MD",316700,16993
"Camden, GA",240700,40706
"Hillsborough, FL",231300,27322
"Kern, CA",241700,7026
"Los Angeles, CA",589700,24435
"Saint Louis, MO",155300,13942
"Contra Costa, CA",638600,51863
"Du Page, IL",435500,23738
"La Salle, IL",63500,43019
"Suffolk, NY",252900,24213
"Cook, IL",352700,30611
"Suffolk, NY",272600,7009
"Somerset, NJ",857300,397133
"East Baton Rouge, LA",195600,29334
"Wake, NC",240700,14751
"Genesee, MI",124100,396968
"Polk, GA",142500,17351
"Fairfield, CT",459800,397682
"Miami-Dade, FL",545500,22663
"Gaston, NC",247500,23664
"Nassau, NY",690000,46559
"Lincoln, MS",107000,30612
"New Haven, CT",431800,47780
"Morgan, AL",120000,35744
"Scioto, OH",103500,6586
"Tazewell, IL",172200,17889
"Alameda, CA",1124800,37073
"Coffee, TN",203900,5775
"Gloucester, NJ",279900,24869
"Boyd, KY",86000,37200
"San Luis Obispo, CA",552700,9020
"Cook, IL",278100,16736
"Polk, OR",343100,51636
"Warren, IA",0,18687
"McHenry, IL",282000,48574
"Wayne, MI",146000,9447
"Snohomish, WA",537500,7241
"Houston, GA",184000,13257
"King, WA",425100,7482
"Snohomish, WA",694000,25893
"Harford, MD",261900,55727
"Hillsborough, FL",242000,34249
"Nassau, NY",629200,5838
"Adams, IN",182500,55358
"Osceola, FL",291400,395474
"Washington, MN",364500,45305
"Duval, FL",423100,32186
"Lancaster, PA",384600,398445
"Decatur, GA",133700,50833
"Prince William, VA",490600,24444
"Cook, IL",305600,28419
"Kenton, KY",201700,4603
"Suffolk, NY",286500,57124
"Marion, MS",167800,9788
"Baldwin, AL",252500,24739
"Umatilla, OR",240300,26450
"Baltimore, MD",296900,26843
"Washtenaw, MI",236800,8043
"Bartow, GA",140000,30775
"Volusia, FL",188000,6333
"Lake, OH",214900,51827
"Morris, NJ",615700,53420
"Hartford, CT",361000,35968
"Monroe, FL",789800,52767
"Du Page, IL",359400,16986
"Roane, TN",165300,52425
"Orange, FL",629200,34870
"Napa, CA",681100,16760
"Coahoma, MS",70400,24090
"Pima, AZ",274900,38791
"Los Angeles, CA",1798700,29712
"Saint Marys, MD",369100,12380
"Hillsborough, NH",392900,44094
"Jefferson, AL",493200,14382
"Westchester, NY",991700,17183
"Tioga, NY",183600,397291
"Montgomery, PA",439000,56388
"Suffolk, NY",416200,39253
"Ocean, NJ",466300,272632
"Kent, MI",352300,397680
"Morgan, IN",247800,22195
"Humboldt, CA",311600,10157
"El Paso, CO",319800,37879
"Cook, IL",258600,45795
"Hillsborough, FL",256800,33774
"Los Angeles, CA",1032500,396551
"Orange, CA",1166500,46314
"Madison, NE",218200,12995
"Fairfield, CT",1154300,49873
"Nassau, NY",898600,34220
"Cuyahoga, OH",371700,54194
"Saint Louis, MO",638400,51590
"King, WA",496500,396864
"White, TN",165500,41004
"Newport, RI",538900,26138
"Camden, NJ",243200,32815
"Allegheny, PA",359400,395904
"Ventura, CA",505800,47198
"Upson, GA",105600,54685
"Worcester, MA",631700,399071
"Dekalb, GA",583700,44879
"Niagara, NY",323400,55161
"Hood River, OR",391100,45802
"Brevard, FL",305000,14563
"Marshall, TN",162400,9949
"Saint Bernard, LA",145800,37820
"Trumbull, OH",128700,19628
"Franklin, OH",141800,34823
"Providence, RI",225200,14847
"Morris, NJ",421100,11144
"Morris, NJ",516700,397185
"Westchester, NY",896800,399213
"Volusia, FL",312200,11057
"Gilmer, GA",233900,51886
"York, SC",237500,29470
"Erie, NY",111100,5472
"Morton, ND",210300,42638
"Lincoln, LA",159000,6871
"Williamson, TX",181200,39088
"San Bernardino, CA",360500,6485
"Saint Johns, FL",452100,11553
"Davis, UT",404100,34222
"Monmouth, NJ",445700,54702
"York, PA",284900,398446
"New London, CT",316400,397380
"Will, IL",450200,32911
"Catawba, NC",155300,33112
"Brown, WI",180100,39055
"Cuyahoga, OH",105700,11209
"Middlesex, MA",1017500,34170
"Lake, IN",126800,42427
"Ramsey, MN",329200,9556
"Worcester, MA",474300,42355
"Suffolk, MA",575200,27995
"Hartford, CT",277300,26536
"Hennepin, MN",313900,52574
"Hartford, CT",407700,37394
"Tulsa, OK",191900,34980
"Waukesha, WI",251000,398470
"Hamilton, OH",192500,52056
"Ventura, CA",1247300,41673
"Morgan, IL",144300,52664
"Los Angeles, CA",474600,118994
"Lancaster, PA",289300,398023
"Hampshire, MA",320200,36503
"Milwaukee, WI",268400,17650
"Fairfax, VA",605900,244509
"Nevada, CA",688200,48047
"Monmouth, NJ",744700,53166
"Middlesex, NJ",463800,4171
"Cook, IL",240800,37366
"Gloucester, VA",302400,56889
"Frederick, VA",325600,36236
"Hillsborough, FL",573000,40132
"Williamson, TX",151300,34243
"Hendry, FL",187600,32359
"Dallas, TX",253300,6876
"Allegheny, PA",141400,34752
"Clark, WA",492200,43207
"Chittenden, VT",262800,30975
"Saint Joseph, MI",111900,20696
"Bergen, NJ",512200,17827
"Chittenden, VT",247200,27160
"Saint Louis, MO",136800,19798
"Camden, NJ",186200,32513
"Plaquemines, LA",366900,37353
"Valencia, NM",111300,30398
"Norfolk, MA",714500,397583
"Franklin, MA",259000,397274
"Essex, MA",639100,40001
"Kern, CA",173100,43102
"Morris, NJ",1202400,397771
"Dane, WI",219700,395586
"Middlesex, MA",1142500,8372
"Wayne, MI",77300,7798
"Middlesex, NJ",371800,395557
"Tulare, CA",237500,19033
"Colbert, AL",104600,34362
"Anne Arundel, MD",544500,11262
"Summit, OH",314700,13043
"Spokane, WA",308700,14889
"Bristol, MA",376400,40959
"Hawaii, HI",267200,40224
"Westchester, NY",1452100,54333
"Skagit, WA",509500,8081
"Sussex, NJ",328800,399013
"Plymouth, MA",750100,399153
"Fairfax, VA",1567300,18373
"Pinellas, FL",296100,35755
"Summit, OH",268100,20745
"Allegheny, PA",232800,396645
"Dauphin, PA",264600,398149
"Carver, MN",478900,51349
"Saline, AR",234800,3862
"Bristol, RI",442400,51143
"Marion, FL",172800,47895
"Oldham, KY",389700,39297
"Sevier, TN",252900,9366
"Harris, TX",147600,54472
"York, PA",332600,398558
"Henry, TN",148300,46994
"Windham, CT",201400,22620
"Hudson, NJ",594200,33911
"Bergen, NJ",514000,17965
"Imperial, CA",210900,36363
"Monmouth, NJ",629600,398003
"Tulsa, OK",195900,56022
"Bristol, MA",463300,53633
"Kenton, KY",267300,18679
"Norfolk, MA",582600,398549
"Will, IL",540200,18186
"Hamilton, OH",251700,22155
"Fresno, CA",300300,30105
"Mecklenburg, NC",344500,53352
"Onondaga, NY",195900,54286
"Saint Louis, MO",364400,32661
"Lake, IL",745400,31197
"New Haven, CT",340900,7985
"Cook, IL",306900,43599
"Indian River, FL",268600,13752
"Ozaukee, WI",433900,396316
"Jackson, FL",96200,32695
"Los Angeles, CA",1373300,55753
"Spartanburg, SC",226300,23360
"Cumberland, PA",231400,30760
"Greene, MO",199000,33633
"Saint Louis, MN",138400,32021
"Gaston, NC",237800,26009
"Navarro, TX",147400,44760
"Marion, OR",276300,206867
"Snohomish, WA",712900,26038
"Camden, NJ",197700,6463
"Jerome, ID",133400,12125
"Lake, IL",1345300,35491
"Sumner, TN",205400,40417
"Beaufort, SC",194000,44081
"Kent, RI",591600,38286
"Dekalb, GA",517100,130532
"Polk, FL",214900,27992
"Passaic, NJ",503900,25074
"Monterey, CA",401800,31854
"Prince Georges, MD",315200,396094
"Fresno, CA",341800,25411
"Gloucester, NJ",292400,397014
"Cumberland, NC",238800,56956
"Luzerne, PA",172600,12872
"Ellis, TX",324500,36121
"Dallas, IA",339600,14500
"Worcester, MA",335800,398403
"Acadia, LA",103400,24277
"Warren, OH",393900,22553
"Webster, LA",105900,12754
"Bucks, PA",518800,396940
"Salt Lake, UT",460400,5138
"Cuyahoga, OH",227600,10363
"Roanoke, VA",238700,36328
"Rockwall, TX",264100,20262
"Hays, TX",254700,46076
"Middlesex, MA",542100,3461
"Cuyahoga, OH",255200,8640
"Otsego, NY",122600,397162
"Davis, UT",436800,32268
"Kent, MI",387500,398036
"Saint Louis, MO",164400,31989
"DeKalb, IL",349800,27354
"Jefferson, IN",185200,32634
"Prince Georges, MD",421200,39357
"Contra Costa, CA",2137000,30145
"Lancaster, PA",316700,397115
"Colbert, AL",131700,26049
"Saint Louis, MO",324500,172302
"Contra Costa, CA",743500,38965
"Westchester, NY",359500,38029
"San Joaquin, CA",499100,35591
"Monmouth, NJ",928500,32061
"Ocean, NJ",351300,189755
"West Baton Rouge, LA",164100,29986
"Monroe, MI",245200,34247
"Ontario, NY",152900,399037
"Cherokee, NC",145100,12889
"Hawkins, TN",161100,8983
"Morris, NJ",564900,29899
"Trumbull, OH",212800,55335
"Henderson, TX",132100,23536
"Yavapai, AZ",643200,7005
"Los Angeles, CA",654100,30267
"Fairfield, CT",522500,23843
"Fairfield, CT",610200,397566
"Cumberland, PA",256500,46708
"Cape Girardeau, MO",157700,12083
"Cass, MO",176700,33599
"Bergen, NJ",644600,26885
"Humboldt, CA",410600,12654
"Oakland, MI",112600,31988
"Miami-Dade, FL",506500,20720
"Montgomery, PA",331700,55748
"Tulare, CA",292000,4632
"Broome, NY",177500,398287
"Bergen, NJ",556600,19592
"Jackson, MS",174600,36570
"Thurston, WA",329800,55282
"Bay, FL",287200,53089
"Bexar, TX",140300,44738
"Lee, GA",137900,52922
"Logan, CO",177400,20651
"Du Page, IL",1331200,11926
"Saint Louis, MO",92800,12119
"Miami-Dade, FL",381500,126405
"Chemung, NY",200400,395542
"Volusia, FL",369000,6177
"Montgomery, PA",309500,217017
"Mercer, PA",119700,52490
"Crook, OR",255700,28867
"Cumberland, PA",275400,397009
"Logan, IL",122100,19021
"Boulder, CO",700600,19107
"Maui, HI",865400,39319
"Hampden, MA",294600,15043
"New Haven, CT",617300,32633
"Hillsborough, FL",156100,396869
"Los Angeles, CA",502900,118217
"Highlands, FL",190300,18919
"Lexington, SC",306500,24041
"Los Angeles, CA",589500,396556
"Houston, GA",245700,30522
"Wake, NC",421000,6050
"Clark, WA",598200,6760
"Essex, MA",445600,395478
"Bristol, MA",385900,47922
"Maui, HI",897400,49481
"Greenville, SC",216700,19933
"Middlesex, MA",473200,398234
"Fremont, WY",158800,15743
"Hendry, FL",167500,44645
"Willacy, TX",56800,40507
"Orange, CA",431900,46098
"Washington, LA",135700,18191
"Worcester, MA",348600,10206
"Ionia, MI",160600,52641
"Albany, NY",242500,24148
"Livingston, LA",168300,34630
"Hamilton, IN",199200,36557
"Whatcom, WA",453700,53086
"New London, CT",375200,399082
"Saint Louis, MO",155400,46216
"Dorchester, MD",196700,37706
"Union, GA",235300,51023
"Howard, TX",91000,23704
"Iberville, LA",106800,53917
"Hunterdon, NJ",622900,397785
"Polk, FL",218800,50262
"Yuma, AZ",187200,33844
"Denton, TX",239000,51547
"Prince Georges, MD",392700,5547
"Ventura, CA",566000,18098
"Winnebago, IL",105200,32621
"Plymouth, MA",426600,398899
"Riverside, CA",703700,40493
"Newport, RI",499400,33511
"Weber, UT",340500,13027
"Hampshire, MA",340700,49001
"Washington, UT",360800,7769
"Orange, NY",418800,398996
"Monmouth, NJ",279300,3455
"Henry, GA",247600,53015
"Middlesex, NJ",545500,25872
"Eaton, MI",240700,169009
"Wayne, MI",227100,18404
"Suffolk, NY",329500,9043
"Marin, CA",1473800,47544
"Belknap, NH",232300,46095
"Lake, IL",365300,39916
"Tuscarawas, OH",206700,23228
"Suffolk, NY",307400,45244
"Jackson, MS",106600,4868
"Plymouth, MA",452100,22976
"San Bernardino, CA",90300,41317
"Hardin, TX",232900,22194
"Baltimore, MD",291800,160335
"Bexar, TX",163500,20894
"Pinal, AZ",86600,11312
"Kenosha, WI",377800,19987
"Prince Georges, MD",445800,39089
"Fairfax, VA",663500,20241
"Brown, WI",155400,23530
"Lake, IN",203700,4446
"Cuyahoga, OH",279300,19346
"Montcalm, MI",112400,11725
"Plymouth, MA",402400,6807
"Allegheny, PA",101000,7937
"Winnebago, IL",163600,50222
"Hartford, CT",434600,27304
"Harford, MD",343000,52707
"Westchester, NY",1757300,47495
"Tazewell, IL",173300,28890
"Washington, MN",385800,41069
"Clark, NV",312600,39761
"Pima, AZ",372800,56207
"Wayne, MI",181400,28653
"Campbell, TN",150700,42338
"Hamilton, TN",293000,226346
"Weld, CO",301500,51948
"Franklin, PA",177900,397914
"Putnam, IN",191500,42405
"Bolivar, MS",178800,17474
"Miami-Dade, FL",1385500,33429
"Montgomery, PA",491500,398845
"Haywood, NC",126100,55310
"Hampden, MA",496500,39501
"Shasta, CA",280900,10128
"Passaic, NJ",397600,7852
"Sonoma, CA",895000,25078
"Lake, IL",660000,32492
"Plymouth, MA",511300,40287
"Ada, ID",533800,24464
"Fulton, NY",157400,397036
"Gwinnett, GA",356700,45543
"Grenada, MS",156600,4997
"Boone, KY",342600,18524
"Dekalb, GA",418600,6221
"Santa Barbara, CA",1046900,3980
"Luzerne, PA",170900,208060
"King, WA",476900,51571
"Lawrence, TN",149000,46180
"Hartford, CT",536400,23560
"Saint Louis, MO",959800,24101
"Bergen, NJ",1045700,29390
"Portage, OH",445200,16847
"Davidson, TN",305800,52256
"Hendricks, IN",253900,51645
"Saint Clair, AL",239400,53849
"Peach, GA",122400,4782
"Fulton, NY",103700,31780
"Middlesex, MA",790900,398002
"Onondaga, NY",304500,8827
"Bergen, NJ",526700,19654
"Miami-Dade, FL",163100,13092
"Worcester, MA",269300,398846
"Somerset, NJ",1058600,55038
"Dutchess, NY",386700,398027
"Cattaraugus, NY",99500,398581
"Tolland, CT",361700,45134
"Routt, CO",471000,20642
"Middlesex, MA",685300,13033
"Dekalb, GA",164200,127117
"Cumberland, PA",316500,9542
"Wabash, IN",140200,48290
"San Diego, CA",858600,30526
"Lake, OH",387000,24182
"Miami-Dade, FL",323100,124539
"Hardin, KY",117800,26667
"Orange, NY",418400,398520
"Riverside, CA",441600,115282
"Harford, MD",382400,38926
"Clark, NV",385900,51095
"Montgomery, PA",546600,399150
"Fairfax, VA",646200,245091
"Gloucester, NJ",305600,12546
"Lancaster, PA",301400,399136
"Polk, FL",224000,45612
"Bucks, PA",450100,397204
"Harford, MD",501100,31589
"York, PA",223600,45644
"Franklin, PA",184600,399248
"San Patricio, TX",237000,6584
"Orange, FL",454000,53115
